产品名称,类别,单价,库存,供应商,上架日期,评分,销量,产地,备注
无线蓝牙耳机,电子产品,299.00,150,深圳声科科技,2023-01-15,4.8,3200,广东深圳,降噪版
机械键盘K8,电子产品,459.00,80,东莞键鼠厂,2023-02-20,4.6,1800,广东东莞,青轴RGB
办公椅人体工学,家具,1299.00,35,杭州家居制造,2023-03-10,4.9,650,浙江杭州,腰部支撑
智能手表Pro,电子产品,899.00,120,北京智联科技,2023-04-05,4.5,2100,北京,心率监测
便携充电宝,电子产品,129.00,300,深圳电科,2023-05-18,4.3,5600,广东深圳,20000mAh
不锈钢保温杯,日用品,89.00,500,上海日用品厂,2023-06-22,4.7,8900,上海,500ml
LED台灯护眼,电子产品,199.00,200,广州照明科技,2023-07-30,4.4,3400,广东广州,三档调光
瑜伽垫加厚,运动器材,149.00,180,厦门体育用品,2023-08-12,4.8,2700,福建厦门,6mm厚度
双肩包商务,箱包,259.00,250,温州箱包厂,2023-09-25,4.5,4100,浙江温州,防水面料
咖啡豆阿拉比卡,食品,79.00,400,云南咖啡庄园,2023-10-08,4.9,7200,云南普洱,中度烘焙
无线鼠标静音,电子产品,69.00,600,深圳外设科技,2023-11-15,4.2,9800,广东深圳,2.4G连接
空气炸锅智能,家电,399.00,90,佛山家电集团,2023-12-20,4.6,1500,广东佛山,3.5L容量
